CO2,p,T,H2O,Points:0,Points:1,Points:2,H2O
0.960836,1.00E+07,351.13,0.039164,0,0.0006,0.010618,0.00019582
0.96123,1.00E+07,351.21,0.03877,0,-0.0006,0.0073717,0.00019385
0.961448,1.00E+07,351.39,0.038552,0,0.0006,0.0045963,0.00019276
0.961588,1.00E+07,350.01,0.038412,0,-0.0002,0.002459,0.00019206
0.962238,1.00E+07,351.29,0.037762,0,-0.0006,0.010899,0.00018881
0.96417,1.00E+07,351.18,0.03583,0,-0.0006,0.0029239,0.00017915
0.964574,1.00E+07,351.06,0.035426,0,-0.0002,0.013212,0.00017713
0.964584,1.00E+07,350.02,0.035416,0,0.0002,0.002459,0.00017708
0.964622,1.00E+07,351.06,0.035378,0,0.0002,0.013212,0.00017689
0.964946,1.00E+07,351.2,0.035054,0,-0.0006,0.011182,0.00017527
0.965376,1.00E+07,351.27,0.034624,0,0.0006,0.004353,0.00017312
0.96709,1.00E+07,349.71,0.03291,0,-0.0002,0.0022286,0.00016455
0.968008,1.00E+07,351.09,0.031992,0,-0.0006,0.011467,0.00015996
0.968748,1.00E+07,349.72,0.031252,0,0.0002,0.0022286,0.00015626
0.968992,1.00E+07,351.17,0.031008,0,0.0006,0.0041112,0.00015504
0.971748,1.00E+07,350.92,0.028252,0,0.0006,0.010899,0.00014126
0.97215,1.00E+07,350.97,0.02785,0,-0.0006,0.011753,0.00013925
0.972366,1.00E+07,351.06,0.027634,0,0.0006,0.0038709,0.00013817
0.973402,1.00E+07,350.91,0.026598,0,-0.0006,0.0026907,0.00013299
0.973842,1.00E+07,349.31,0.026158,0,-0.0002,0.0019996,0.00013079
0.974876,1.00E+07,349.28,0.025124,0,0.0002,0.0019996,0.00012562
0.975612,1.00E+07,350.96,0.024388,0,0.0006,0.003632,0.00012194
0.975818,1.00E+07,350.83,0.024182,0,-0.001,0.0045963,0.00012091
0.97602,1.00E+07,350.83,0.02398,0,-0.001,0.004353,0.0001199
0.976554,1.00E+07,350.85,0.023446,0,0.001,0.0071117,0.00011723
0.976602,1.00E+07,350.86,0.023398,0,0.001,0.0068533,0.00011699
0.97681,1.00E+07,350.84,0.02319,0,-0.0006,0.012042,0.00011595
0.976874,1.00E+07,350.86,0.023126,0,0.001,0.0065964,0.00011563
0.977118,1.00E+07,350.83,0.022882,0,0.001,0.0073717,0.00011441
0.977132,1.00E+07,350.8,0.022868,0,-0.001,0.0041112,0.00011434
0.9772,1.00E+07,350.78,0.0228,0,-0.001,0.004841,0.000114
0.977338,1.00E+07,350.8,0.022662,0,0.0006,0.011182,0.00011331
0.977448,1.00E+07,350.85,0.022552,0,0.001,0.006341,0.00011276
0.978388,1.00E+07,350.83,0.021612,0,0.001,0.0060872,0.00010806
0.978404,1.00E+07,350.87,0.021596,0,0.0006,0.0033945,0.00010798
0.978442,1.00E+07,350.79,0.021558,0,0.001,0.0076333,0.00010779
0.97909,1.00E+07,350.75,0.02091,0,-0.001,0.0038709,0.00010455
0.97951,1.00E+07,350.81,0.02049,0,0.001,0.005835,0.00010245
0.97969,1.00E+07,350.75,0.02031,0,0.0006,0.011467,0.00010155
0.979794,1.00E+07,350.7,0.020206,0,-0.001,0.0050873,0.00010103
0.979854,1.00E+07,349.06,0.020146,0,-0.0002,0.001772,0.00010073
